production_id,product_id,batch_id,printer_id,start_datetime,end_datetime,qty_produced_units,qty_rejected_units,rejection_rate_pct,operator_id
PROD00104,PR002,BT0093,P002,2022-03-10 08:27:46,2022-03-10 13:43:58,28,1,6,OP07
PROD00105,PR001,BT0130,P001,2022-03-25 05:38:03,2022-03-25 12:08:39,26,0,2,OP03
PROD00106,PR001,BT0109,P002,2022-03-19 02:47:27,2022-03-19 05:57:39,12,0,8,OP09
PROD00107,PR002,BT0167,P002,2022-03-12 15:35:34,2022-03-12 17:39:10,10,0,7,OP10
PROD00108,PR001,BT0119,P001,2022-03-04 20:48:40,2022-03-05 03:21:40,26,0,2,OP09
PROD00109,PR001,BT0069,P002,2022-03-09 07:53:25,2022-03-09 11:13:13,13,0,1,OP11
PROD00110,PR001,BT0034,P001,2022-03-15 00:30:43,2022-03-15 03:56:31,13,0,7,OP08
PROD00111,PR001,BT0030,P002,2022-03-12 00:09:22,2022-03-12 05:50:46,22,0,2,OP05
PROD00112,PR001,BT0083,P001,2022-03-25 19:39:50,2022-03-25 22:15:14,10,0,7,OP02
PROD00113,PR002,BT0158,P002,2022-03-20 14:48:02,2022-03-20 19:12:38,23,0,2,OP08
PROD00114,PR002,BT0006,P002,2022-03-07 01:49:04,2022-03-07 05:41:52,20,0,2,OP09
PROD00115,PR001,BT0031,P001,2022-03-19 01:00:57,2022-03-19 08:03:57,28,0,2,OP10
PROD00116,PR001,BT0064,P001,2022-03-14 22:18:24,2022-03-15 02:57:24,18,1,7,OP06
PROD00117,PR002,BT0072,P001,2022-03-11 20:46:31,2022-03-12 00:35:07,20,1,7,OP10
PROD00118,PR001,BT0050,P001,2022-03-04 14:14:37,2022-03-04 20:20:01,24,1,8,OP04
PROD00119,PR001,BT0121,P001,2022-04-10 03:53:47,2022-04-10 08:32:47,18,0,3,OP01
PROD00120,PR001,BT0021,P001,2022-04-27 04:57:09,2022-04-27 09:31:57,18,1,8,OP12
PROD00121,PR002,BT0156,P001,2022-04-20 10:44:15,2022-04-20 15:18:27,24,1,7,OP11
PROD00122,PR003,BT0077,P001,2022-04-25 10:11:35,2022-04-25 17:50:35,61,1,2,OP11
PROD00123,PR003,BT0087,P002,2022-04-14 10:23:42,2022-04-14 13:36:54,25,2,8,OP03
PROD00124,PR002,BT0028,P001,2022-04-28 16:52:04,2022-04-28 22:08:16,28,0,3,OP03
PROD00125,PR001,BT0144,P002,2022-04-04 07:53:41,2022-04-04 13:23:41,22,0,2,OP03
PROD00126,PR002,BT0165,P001,2022-04-19 22:49:53,2022-04-20 02:03:41,17,0,3,OP11
PROD00127,PR003,BT0102,P001,2022-04-14 04:25:07,2022-04-14 08:42:31,34,2,8,OP02
PROD00128,PR002,BT0172,P001,2022-04-08 19:05:38,2022-04-09 01:48:50,35,2,6,OP03
PROD00129,PR003,BT0067,P002,2022-04-25 15:18:18,2022-04-25 18:39:18,26,0,2,OP09
PROD00130,PR001,BT0091,P001,2022-04-05 07:49:18,2022-04-05 15:04:54,29,1,5,OP05
PROD00131,PR002,BT0170,P002,2022-04-07 16:02:55,2022-04-07 20:11:19,22,0,4,OP04
PROD00132,PR002,BT0016,P001,2022-04-21 20:20:15,2022-04-22 01:50:15,29,2,7,OP10
PROD00133,PR001,BT0073,P001,2022-04-02 08:18:01,2022-04-02 13:03:01,19,0,2,OP03
PROD00134,PR003,BT0152,P002,2022-04-18 15:07:14,2022-04-18 19:16:50,33,0,2,OP11
PROD00135,PR001,BT0126,P001,2022-04-14 13:52:02,2022-04-14 18:36:26,18,0,5,OP03
PROD00136,PR002,BT0139,P002,2022-04-17 15:48:22,2022-04-17 22:41:10,36,0,2,OP04
PROD00137,PR001,BT0141,P002,2022-04-13 20:42:46,2022-04-14 00:44:34,16,0,5,OP08
PROD00138,PR001,BT0024,P002,2022-04-20 09:11:07,2022-04-20 14:16:31,20,1,7,OP06
PROD00139,PR002,BT0001,P002,2022-04-20 00:57:23,2022-04-20 08:44:11,41,2,5,OP11
PROD00140,PR001,BT0132,P001,2022-04-09 11:12:23,2022-04-09 18:04:35,27,0,2,OP03
PROD00141,PR002,BT0081,P002,2022-04-21 00:52:28,2022-04-21 08:07:28,38,0,2,OP05
PROD00142,PR002,BT0034,P002,2022-04-06 12:58:22,2022-04-06 18:51:46,31,0,2,OP11
PROD00143,PR002,BT0025,P001,2022-04-02 14:53:55,2022-04-02 17:35:19,14,0,6,OP04
PROD00144,PR003,BT0056,P002,2022-04-17 22:44:43,2022-04-18 02:56:07,33,1,4,OP03
PROD00145,PR002,BT0084,P001,2022-04-06 03:37:02,2022-04-06 05:48:26,11,0,2,OP08
PROD00146,PR003,BT0067,P001,2022-04-08 11:56:25,2022-04-08 17:05:25,41,1,4,OP10
PROD00147,PR003,BT0075,P001,2022-04-18 07:46:31,2022-04-18 10:21:55,20,0,2,OP09
PROD00148,PR003,BT0078,P001,2022-04-15 05:07:49,2022-04-15 11:24:37,50,2,5,OP01
PROD00149,PR003,BT0170,P002,2022-04-28 22:16:24,2022-04-29 04:36:12,50,1,2,OP02
PROD00150,PR002,BT0116,P002,2022-04-09 02:02:40,2022-04-09 06:12:16,22,0,4,OP04
PROD00151,PR003,BT0043,P002,2022-04-04 14:10:07,2022-04-04 16:30:31,18,0,3,OP08
PROD00152,PR003,BT0104,P001,2022-04-08 19:34:05,2022-04-09 00:51:29,42,2,7,OP01
PROD00153,PR003,BT0014,P002,2022-04-02 12:40:29,2022-04-02 19:34:29,55,2,5,OP09
PROD00154,PR002,BT0095,P001,2022-04-26 13:44:34,2022-04-26 20:41:34,37,1,5,OP05
PROD00155,PR001,BT0018,P001,2022-04-04 07:09:40,2022-04-04 09:40:16,10,0,3,OP09
PROD00156,PR003,BT0148,P002,2022-04-13 17:45:57,2022-04-13 19:52:33,16,0,3,OP03
PROD00157,PR003,BT0027,P001,2022-04-01 13:09:12,2022-04-01 15:57:48,22,0,2,OP05
PROD00158,PR003,BT0022,P001,2022-04-02 15:59:30,2022-04-02 18:14:30,18,0,5,OP08
PROD00159,PR001,BT0103,P001,2022-04-25 18:20:03,2022-04-25 21:44:03,13,0,3,OP10
PROD00160,PR001,BT0144,P002,2022-04-24 09:55:50,2022-04-24 16:15:02,25,0,2,OP04
PROD00161,PR001,BT0094,P002,2022-04-10 00:32:29,2022-04-10 05:16:53,18,0,2,OP03
PROD00162,PR002,BT0024,P001,2022-04-26 12:14:56,2022-04-26 17:46:08,29,0,1,OP06
PROD00163,PR003,BT0051,P001,2022-04-14 17:46:12,2022-04-14 22:46:48,40,2,7,OP12
PROD00164,PR002,BT0135,P001,2022-04-14 16:46:09,2022-04-14 23:00:33,33,0,3,OP09
PROD00165,PR001,BT0110,P001,2022-04-05 10:10:15,2022-04-05 15:12:03,20,0,3,OP10
PROD00166,PR001,BT0148,P001,2022-04-26 16:28:15,2022-04-26 21:23:27,19,0,4,OP11
PROD00167,PR003,BT0176,P001,2022-04-22 10:03:03,2022-04-22 17:07:15,56,1,2,OP06
PROD00168,PR001,BT0083,P002,2022-04-21 21:29:20,2022-04-22 02:23:56,19,0,2,OP08
PROD00169,PR003,BT0168,P002,2022-04-14 15:52:25,2022-04-14 23:39:13,62,0,1,OP10
PROD00170,PR001,BT0001,P002,2022-04-23 05:06:54,2022-04-23 08:28:30,13,0,5,OP08
PROD00171,PR002,BT0076,P002,2022-04-09 10:15:31,2022-04-09 13:17:19,16,0,5,OP11
PROD00172,PR003,BT0060,P001,2022-04-06 17:47:48,2022-04-06 19:52:36,16,0,4,OP11
PROD00173,PR001,BT0012,P002,2022-04-02 01:58:54,2022-04-02 06:46:54,19,0,1,OP11
PROD00174,PR002,BT0025,P002,2022-04-15 13:08:17,2022-04-15 19:34:41,34,2,8,OP02
PROD00175,PR003,BT0093,P002,2022-04-13 19:58:31,2022-04-14 00:01:31,32,1,4,OP10
PROD00176,PR003,BT0056,P001,2022-04-21 09:53:58,2022-04-21 16:06:34,49,3,7,OP01
PROD00177,PR003,BT0128,P002,2022-04-09 11:19:38,2022-04-09 16:56:14,44,3,8,OP02
PROD00178,PR002,BT0036,P002,2022-04-10 13:59:50,2022-04-10 18:29:14,23,1,5,OP06
PROD00179,PR002,BT0001,P001,2022-05-05 18:05:23,2022-05-05 21:43:11,19,0,2,OP02
PROD00180,PR002,BT0024,P002,2022-05-12 16:13:34,2022-05-12 21:16:34,26,0,3,OP01
PROD00181,PR002,BT0068,P001,2022-05-26 10:15:48,2022-05-26 15:49:24,29,2,7,OP08
PROD00182,PR003,BT0112,P001,2022-05-03 14:09:17,2022-05-03 16:20:05,17,1,6,OP12
PROD00183,PR003,BT0146,P002,2022-05-12 20:21:19,2022-05-13 01:54:19,44,3,8,OP12
PROD00184,PR003,BT0136,P002,2022-05-14 07:53:05,2022-05-14 15:03:53,57,2,5,OP06
PROD00185,PR003,BT0163,P001,2022-05-25 16:23:22,2022-05-25 20:33:34,33,1,5,OP04
PROD00186,PR002,BT9215,P002,2022-05-02 22:12:20,2022-05-03 01:24:56,17,0,2,OP01
PROD00187,PR003,BT0032,P001,2022-05-24 00:25:15,2022-05-24 04:26:27,32,1,5,OP10
PROD00188,PR001,BT0123,P001,2022-05-19 04:56:16,2022-05-19 09:05:16,16,0,5,OP12
PROD00189,PR003,BT0033,P002,2022-05-28 02:32:10,2022-05-28 09:38:46,56,2,5,OP08
PROD00190,PR003,BT0147,P002,2022-05-03 12:56:02,2022-05-03 16:54:14,31,0,2,OP03
PROD00191,PR001,BT0094,P001,2022-05-02 02:51:09,2022-05-02 09:03:45,24,1,5,OP08
PROD00192,PR001,BT0071,P002,2022-05-05 14:04:37,2022-05-05 18:09:25,16,0,6,OP08
PROD00193,PR001,BT0165,P002,2022-05-16 21:31:10,2022-05-17 03:44:58,24,0,2,OP01
PROD00194,PR003,BT0065,P001,2022-05-11 01:16:54,2022-05-11 06:01:54,38,2,7,OP08
PROD00195,PR003,BT0048,P002,2022-05-20 16:43:01,2022-05-20 20:20:13,28,1,4,OP12
PROD00196,PR001,BT0159,P001,2022-05-20 10:29:37,2022-05-20 12:56:01,9,0,1,OP09
PROD00197,PR001,BT0137,P001,2022-05-01 22:39:23,2022-05-02 06:20:47,30,0,2,OP09
PROD00198,PR001,BT0068,P001,2022-05-15 18:41:24,2022-05-15 23:53:24,20,1,5,OP03
PROD00199,PR001,BT0154,P002,2022-05-11 23:34:50,2022-05-12 01:39:02,8,0,3,OP11
PROD00200,PR001,BT0117,P001,2022-05-11 09:52:44,2022-05-11 15:54:32,24,0,3,OP07
PROD00201,PR003,BT0074,P002,2022-05-19 19:45:47,2022-05-19 21:46:23,16,0,6,OP05
PROD00202,PR002,BT0158,P001,2022-05-20 17:06:01,2022-05-20 21:22:13,22,1,8,OP02
PROD00203,PR003,BT0132,P001,2022-05-18 21:30:34,2022-05-19 01:17:22,30,0,2,OP03
PROD00204,PR002,BT0129,P001,2022-05-22 20:25:28,2022-05-22 23:24:52,15,1,7,OP09
PROD00205,PR001,BT0109,P002,2022-05-21 19:09:21,2022-05-22 01:11:45,24,0,4,OP04
PROD00206,PR001,BT0066,P002,2022-05-13 12:57:14,2022-05-13 19:15:14,25,2,8,OP11
PROD00207,PR003,BT0068,P001,2022-05-27 01:04:13,2022-05-27 08:19:13,58,1,3,OP06
PROD00208,PR002,BT0112,P002,2022-05-27 18:49:18,2022-05-27 23:37:54,25,0,1,OP11
PROD00209,PR003,BT0008,P001,2022-05-13 19:39:05,2022-05-13 22:38:29,23,1,8,OP07
PROD00210,PR002,BT0166,P001,2022-05-22 15:11:32,2022-05-22 18:07:56,15,0,3,OP11
PROD00211,PR001,BT0050,P001,2022-05-20 17:19:46,2022-05-21 00:41:58,29,0,3,OP09
PROD00212,PR001,BT0076,P002,2022-05-11 22:15:42,2022-05-12 02:35:30,17,1,6,OP10
PROD00213,PR003,BT9485,P002,2022-05-28 12:33:56,2022-05-28 14:57:56,19,0,2,OP11
PROD00214,PR001,BT0014,P002,2022-05-05 01:15:25,2022-05-05 04:27:25,12,0,5,OP09
PROD00215,PR003,BT0168,P002,2022-05-10 21:51:11,2022-05-11 05:12:47,58,3,6,OP07
PROD00216,PR002,BT0124,P001,2022-05-01 16:26:10,2022-05-01 22:09:58,30,0,3,OP06
PROD00217,PR003,BT0127,P002,2022-05-13 05:42:55,2022-05-13 09:52:31,33,0,1,OP05
PROD00218,PR003,BT0168,P002,2022-05-14 13:05:21,2022-05-14 16:31:45,27,2,8,OP02
PROD00219,PR002,BT0155,P002,2022-05-07 06:42:28,2022-05-07 13:28:04,36,2,6,OP07
PROD00220,PR002,BT0088,P002,2022-05-08 03:32:12,2022-05-08 10:04:36,34,0,2,OP11
PROD00221,PR002,BT0080,P002,2022-05-25 23:25:01,2022-05-26 03:55:37,24,1,7,OP03
PROD00222,PR001,BT0010,P001,2022-05-05 13:07:50,2022-05-05 18:28:14,21,0,3,OP03
PROD00223,PR003,BT0106,P001,2022-05-18 04:27:37,2022-05-18 11:57:37,60,1,2,OP07
PROD00224,PR003,BT0079,P002,2022-05-27 02:15:15,2022-05-27 05:51:15,28,1,4,OP06
PROD00225,PR002,BT0093,P001,2022-05-11 10:29:12,2022-05-11 12:29:48,10,0,3,OP10
PROD00226,PR003,BT0104,P001,2022-05-01 04:19:20,2022-05-01 08:15:44,31,0,2,OP10
PROD00227,PR001,BT0121,P001,2022-05-22 16:10:35,2022-05-22 23:59:47,31,1,5,OP03
PROD00228,PR003,BT9640,P002,2022-05-10 23:46:49,2022-05-11 04:55:49,41,2,5,OP05
PROD00229,PR001,BT0131,P001,2022-05-25 00:14:28,2022-05-25 03:50:28,14,0,6,OP05
PROD00230,PR001,BT0018,P002,2022-05-09 06:06:20,2022-05-09 11:43:32,22,1,6,OP03
PROD00231,PR002,BT9666,P002,2022-05-26 11:25:23,2022-05-26 13:43:59,12,0,4,OP12
PROD00232,PR002,BT0135,P002,2022-05-08 23:48:23,2022-05-09 06:31:35,35,0,1,OP04
PROD00233,PR001,BT0044,P002,2022-06-22 04:26:52,2022-06-22 06:58:40,10,0,7,OP01
PROD00234,PR003,BT0044,P001,2022-06-10 21:36:38,2022-06-11 00:52:14,26,1,6,OP11
PROD00235,PR001,BT0093,P002,2022-06-19 05:41:34,2022-06-19 08:58:58,13,0,5,OP01
PROD00236,PR003,BT0178,P001,2022-06-06 16:44:17,2022-06-07 00:37:05,63,3,6,OP02
PROD00237,PR002,BT0153,P001,2022-06-12 08:11:26,2022-06-12 11:12:02,16,0,6,OP12
PROD00238,PR002,BT0039,P001,2022-06-12 15:42:27,2022-06-12 19:05:51,18,1,7,OP10
PROD00239,PR003,BT0111,P001,2022-06-19 03:58:16,2022-06-19 10:23:28,51,3,6,OP04
PROD00240,PR003,BT0031,P001,2022-06-23 19:30:06,2022-06-24 03:29:30,63,3,5,OP03
PROD00241,PR002,BT0149,P002,2022-06-16 01:28:13,2022-06-16 03:37:49,11,0,2,OP03
PROD00242,PR002,BT0018,P001,2022-06-15 18:30:36,2022-06-16 01:14:24,35,0,2,OP01
PROD00243,PR002,BT0170,P002,2022-06-09 19:31:49,2022-06-10 02:10:49,35,1,5,OP01
PROD00244,PR002,BT0021,P001,2022-06-16 10:31:39,2022-06-16 17:53:51,39,2,6,OP10
PROD00245,PR003,BT0121,P001,2022-06-25 09:23:58,2022-06-25 15:21:34,47,3,7,OP06
PROD00246,PR001,BT0181,P002,2022-06-09 18:45:22,2022-06-10 01:00:22,25,0,3,OP01
PROD00247,PR002,BT0149,P002,2022-06-09 16:43:59,2022-06-09 22:25:23,30,2,7,OP12
PROD00248,PR001,BT0182,P001,2022-06-07 13:48:14,2022-06-07 16:00:14,8,0,3,OP08
PROD00249,PR001,BT0014,P002,2022-06-15 07:35:31,2022-06-15 10:26:31,11,0,3,OP01
PROD00250,PR003,BT0127,P001,2022-06-09 03:41:04,2022-06-09 08:03:52,35,1,4,OP02
PROD00251,PR001,BT0149,P001,2022-06-20 06:26:36,2022-06-20 12:09:12,22,0,3,OP04
PROD00252,PR002,BT0135,P001,2022-06-17 03:49:07,2022-06-17 07:59:19,22,0,4,OP01
PROD00253,PR003,BT0171,P001,2022-06-27 18:09:39,2022-06-27 23:52:51,45,1,4,OP04
PROD00254,PR001,BT0131,P002,2022-06-25 07:01:59,2022-06-25 14:03:11,28,1,4,OP05
PROD00255,PR003,BT0121,P001,2022-06-25 22:01:27,2022-06-26 01:22:27,26,2,8,OP05
PROD00256,PR003,BT0172,P002,2022-06-06 01:33:38,2022-06-06 05:57:02,35,1,5,OP06
