order_id,customer_id,product_id,quantity,unit_price_brl,total_price_brl,sale_date,channel,status,payment_method
ORD000021,C0436,PR002,1,25.4,25.4,2022-01-28,ecommerce,concluído,cartão_crédito
ORD000022,C0673,PR002,4,24.4,97.61,2022-01-25,ecommerce,concluído,pix
ORD000023,C0139,PR002,5,26.14,130.72,2022-01-20,ecommerce,concluído,pix
ORD000024,C0004,PR001,2,31.91,63.83,2022-01-22,marketplace,pendente,cartão_crédito
ORD000025,C0300,PR001,5,32.9,164.5,2022-01-23,ecommerce,concluído,boleto
ORD000026,C0011,PR001,1,32.57,32.57,23/01/2022,ecommerce,concluído,cartão_crédito
ORD000027,C0831,PR002,2,24.9,49.8,2022-01-25,B2B_direct,pendente,pix
ORD000028,C0769,PR001,5,33.89,169.44,2022-01-17,ecommerce,devolvido,cartão_débito
ORD000029,C0499,PR001,3,31.58,94.75,16/01/2022,B2B_direct,devolvido,cartão_crédito
ORD000030,C0251,PR001,6,33.23,199.37,2022-01-23,pdv_parceiro,pendente,cartão_crédito
ORD000031,C0601,PR001,1,34.22,34.22,2022-01-20,ecommerce,concluído,pix
ORD000032,C0747,PR001,4,32.9,131.6,2022-01-17,ecommerce,concluído,cartão_débito
ORD000033,C0709,PR002,3,24.65,73.95,2022-01-19,ecommerce,pendente,cartão_débito
ORD000034,C0188,PR001,4,33.23,132.92,2022-01-20,ecommerce,concluído,cartão_débito
ORD000035,C0517,PR002,2,24.4,48.8,2022-01-16,ecommerce,concluído,pix
ORD000036,C0770,PR002,3,24.65,73.95,23/01/2022,marketplace,concluído,cartão_débito
ORD000037,C0356,PR001,4,31.25,125.02,2022-01-28,pdv_parceiro,concluído,cartão_crédito
ORD000038,C0528,PR002,5,25.15,125.74,2022-01-28,marketplace,cancelado,boleto
ORD000039,C0318,PR001,5,34.22,171.08,2022-01-22,marketplace,concluído,pix
ORD000040,C0640,PR002,1,25.15,25.15,2022-01-25,B2B_direct,concluído,boleto
ORD000041,C0315,PR002,5,25.9,129.48,24/01/2022,ecommerce,concluído,pix
ORD000042,C0364,PR001,5,33.23,166.14,2022-01-20,B2B_direct,concluído,pix
ORD000043,C0004,PR002,1,25.15,25.15,2022-01-17,marketplace,concluído,pix
ORD000044,C0244,PR001,5,32.9,164.5,2022-01-27,pdv_parceiro,concluído,pix
ORD000045,C0170,PR001,6,33.23,199.37,2022-01-21,ecommerce,concluído,boleto
ORD000046,C0203,PR001,6,34.22,205.3,2022-02-12,ecommerce,concluído,boleto
ORD000047,C0078,PR001,4,33.23,132.92,01/02/2022,marketplace,cancelado,pix
ORD000048,C0054,PR002,2,24.4,48.8,2022-02-27,ecommerce,cancelado,cartão_crédito
ORD000049,C0806,PR002,2,23.9,47.81,2022-02-12,B2B_direct,concluído,cartão_débito
ORD000050,C0168,PR001,1,31.91,31.91,2022-02-17,ecommerce,cancelado,pix
ORD000051,C0809,PR001,1,33.23,33.23,2022-02-16,pdv_parceiro,concluído,pix
ORD000052,C0107,PR002,1,24.4,24.4,27/02/2022,B2B_direct,cancelado,cartão_débito
ORD000053,C0477,PR002,4,24.4,97.61,14/02/2022,marketplace,devolvido,cartão_débito
ORD000054,C0562,PR002,6,23.9,143.42,2022-02-10,ecommerce,concluído,pix
ORD000055,C0123,PR002,5,25.15,125.74,2022-02-05,B2B_direct,devolvido,pix
ORD000056,C0613,PR002,4,24.9,99.6,2022-02-08,B2B_direct,concluído,pix
ORD000057,C0478,PR002,3,26.14,78.44,2022-02-15,ecommerce,concluído,pix
ORD000058,C0577,PR002,3,24.9,74.7,2022-02-22,ecommerce,pendente,boleto
ORD000059,C0419,PR001,5,34.55,172.73,2022-02-17,B2B_direct,concluído,pix
ORD000060,C0346,PR001,1,33.89,33.89,2022-02-04,marketplace,concluído,pix
ORD000061,C0628,PR002,5,25.65,128.23,06/02/2022,marketplace,concluído,boleto
ORD000062,C0351,PR002,4,25.15,100.6,2022-02-27,marketplace,concluído,pix
ORD000063,C0028,PR001,6,33.89,203.32,2022-02-09,marketplace,concluído,cartão_crédito
ORD000064,C0599,PR001,4,33.56,134.23,2022-02-25,B2B_direct,cancelado,cartão_crédito
ORD000065,C0111,PR002,3,25.9,77.69,2022-02-21,marketplace,pendente,cartão_débito
ORD000066,C0239,PR001,6,31.91,191.48,12/02/2022,ecommerce,devolvido,cartão_crédito
ORD000067,C0145,PR002,5,24.9,124.5,2022-02-06,ecommerce,concluído,boleto
ORD000068,C0328,PR002,3,25.4,76.19,28/02/2022,pdv_parceiro,concluído,pix
ORD000068,C0328,PR002,3,25.4,76.19,28/02/2022,pdv_parceiro,concluído,pix
ORD000069,C0508,PR001,3,31.91,95.74,2022-02-22,ecommerce,concluído,cartão_débito
ORD000070,C0773,PR002,4,24.65,98.6,2022-02-15,ecommerce,pendente,cartão_débito
ORD000071,C0130,PR001,5,32.57,162.85,2022-02-04,B2B_direct,devolvido,pix
ORD000072,C0504,PR002,1,24.15,24.15,2022-02-23,ecommerce,concluído,cartão_crédito
ORD000073,C0587,PR001,3,32.9,98.7,04/02/2022,B2B_direct,pendente,cartão_crédito
ORD000074,C0769,PR002,2,23.9,47.81,20/02/2022,ecommerce,cancelado,pix
ORD000075,C0725,PR001,6,32.24,193.45,2022-02-04,marketplace,concluído,pix
ORD000076,C0645,PR002,4,23.9,95.62,06/02/2022,marketplace,concluído,cartão_crédito
ORD000077,C0719,PR001,2,33.89,67.77,2022-02-06,pdv_parceiro,concluído,cartão_crédito
ORD000078,C0366,PR002,1,24.9,24.9,11/02/2022,marketplace,concluído,pix
ORD000078,C0366,PR002,1,24.9,24.9,11/02/2022,marketplace,concluído,pix
ORD000079,C0733,PR001,3,31.58,94.75,2022-02-22,ecommerce,concluído,cartão_crédito
ORD000080,C0292,PR001,6,32.24,193.45,26/02/2022,pdv_parceiro,concluído,cartão_débito
ORD000081,C0752,PR002,6,25.65,153.88,09/02/2022,ecommerce,concluído,pix
ORD000082,C0509,PR002,4,24.9,99.6,2022-02-24,pdv_parceiro,concluído,boleto
ORD000083,C0769,PR001,6,32.9,197.4,2022-02-26,pdv_parceiro,concluído,pix
ORD000084,C0327,PR001,4,31.91,127.65,24/02/2022,B2B_direct,devolvido,cartão_débito
ORD000085,C0703,PR002,6,25.9,155.38,2022-02-23,ecommerce,cancelado,pix
ORD000086,C0578,PR002,5,25.65,128.23,25/02/2022,pdv_parceiro,pendente,boleto
ORD000087,C0468,PR001,5,31.91,159.56,2022-02-16,ecommerce,concluído,cartão_débito
ORD000088,C0729,PR002,6,25.9,155.38,01/02/2022,B2B_direct,pendente,pix
ORD000089,C0019,PR001,5,31.25,156.27,2022-02-01,marketplace,devolvido,cartão_débito
ORD000090,C0098,PR001,3,32.24,96.73,04/02/2022,ecommerce,cancelado,cartão_crédito
ORD000091,C0216,PR002,3,25.65,76.94,13/02/2022,B2B_direct,devolvido,cartão_crédito
ORD000092,C0720,PR001,2,32.9,65.8,14/02/2022,B2B_direct,concluído,pix
ORD000093,C0498,PR002,2,25.65,51.29,24/02/2022,B2B_direct,concluído,boleto
ORD000094,C0300,PR001,6,33.89,203.32,2022-02-14,ecommerce,cancelado,pix
ORD000095,C0593,PR001,2,32.24,64.48,2022-02-12,marketplace,concluído,pix
ORD000096,C0458,PR002,5,26.14,130.72,2022-02-27,marketplace,cancelado,cartão_crédito
ORD000097,C0126,PR002,3,25.65,76.94,16/02/2022,ecommerce,concluído,cartão_débito
ORD000098,C0410,PR002,3,24.15,72.46,2022-02-27,ecommerce,concluído,boleto
ORD000099,C0381,PR002,5,23.9,119.52,17/02/2022,marketplace,concluído,pix
ORD000100,C0011,PR002,2,25.9,51.79,07/02/2022,marketplace,concluído,boleto
ORD000101,C0789,PR001,6,34.22,205.3,26/02/2022,marketplace,concluído,pix
ORD000102,C0592,PR002,6,25.9,155.38,2022-02-23,B2B_direct,pendente,cartão_débito
ORD000103,C0794,PR001,1,31.91,31.91,2022-02-14,marketplace,concluído,cartão_crédito
ORD000104,C0731,PR001,4,31.25,125.02,2022-02-15,B2B_direct,concluído,cartão_crédito
ORD000105,C0084,PR001,5,34.55,172.73,2022-02-16,ecommerce,cancelado,cartão_crédito
ORD000106,C0473,PR001,5,33.23,166.14,2022-02-27,B2B_direct,concluído,pix
ORD000107,C0612,PR002,4,26.14,104.58,2022-02-19,ecommerce,concluído,cartão_crédito
ORD000108,C0510,PR001,6,33.56,201.35,2022-02-20,B2B_direct,concluído,pix
ORD000109,C0414,PR001,3,31.91,95.74,21/02/2022,ecommerce,devolvido,cartão_débito
ORD000110,C0061,PR002,3,26.14,78.44,2022-02-21,ecommerce,concluído,boleto
ORD000111,C0092,PR002,5,25.9,129.48,2022-02-18,marketplace,concluído,boleto
ORD000112,C0785,PR001,2,34.22,68.43,2022-02-23,ecommerce,concluído,pix
ORD000113,C0483,PR001,1,32.24,32.24,2022-02-11,ecommerce,concluído,cartão_crédito
ORD000114,C0504,PR001,2,33.56,67.12,28/02/2022,marketplace,concluído,cartão_crédito
ORD000115,C0041,PR001,3,31.58,94.75,2022-02-02,marketplace,concluído,pix
ORD000116,C0626,PR002,6,25.15,150.89,2022-02-07,marketplace,concluído,cartão_crédito
ORD000117,C0665,PR001,3,32.24,96.73,2022-02-14,marketplace,concluído,cartão_crédito
ORD000118,C0438,PR001,5,32.24,161.21,2022-02-12,pdv_parceiro,cancelado,cartão_crédito
ORD000119,C0297,PR002,3,25.15,75.45,05/02/2022,ecommerce,cancelado,boleto
ORD000120,C0021,PR002,4,23.9,95.62,2022-02-27,B2B_direct,concluído,cartão_débito
ORD000121,C0141,PR001,5,33.56,167.79,2022-02-22,marketplace,concluído,cartão_débito
ORD000122,C0682,PR001,3,33.89,101.66,08/02/2022,B2B_direct,pendente,cartão_crédito
ORD000123,C0189,PR001,3,31.91,95.74,2022-02-22,ecommerce,concluído,pix
ORD000123,C0189,PR001,3,31.91,95.74,2022-02-22,ecommerce,concluído,pix
ORD000124,C0446,PR002,4,26.14,104.58,2022-02-26,ecommerce,concluído,cartão_crédito
ORD000125,C0242,PR002,5,25.65,128.23,2022-02-17,ecommerce,pendente,pix
ORD000126,C0260,PR001,3,32.9,98.7,2022-02-11,B2B_direct,cancelado,cartão_débito
ORD000127,C0104,PR002,5,25.9,129.48,05/02/2022,marketplace,concluído,pix
ORD000128,C0181,PR001,1,32.9,32.9,2022-02-10,pdv_parceiro,concluído,pix
ORD000129,C0415,PR001,6,31.25,187.53,2022-02-09,marketplace,concluído,pix
ORD000130,C0780,PR001,1,34.55,34.55,2022-02-12,ecommerce,pendente,cartão_crédito
ORD000131,C0768,PR002,1,24.15,24.15,2022-02-27,marketplace,pendente,cartão_débito
ORD000132,C0511,PR002,2,25.4,50.8,2022-02-16,marketplace,concluído,cartão_crédito
ORD000133,C0405,PR002,2,24.4,48.8,2022-02-01,ecommerce,concluído,pix
ORD000134,C0442,PR001,2,33.23,66.46,2022-02-15,B2B_direct,concluído,cartão_crédito
ORD000135,C0253,PR001,6,33.89,203.32,2022-02-08,ecommerce,concluído,cartão_crédito
ORD000136,C0061,PR003,5,28.61,143.05,2022-03-27,ecommerce,cancelado,pix
ORD000137,C0418,PR001,3,33.23,99.69,2022-03-12,B2B_direct,concluído,pix
ORD000138,C0837,PR002,3,25.15,75.45,05/03/2022,ecommerce,concluído,cartão_débito
ORD000139,C0649,PR003,6,28.32,169.93,2022-03-18,B2B_direct,concluído,cartão_débito
ORD000140,C0397,PR003,3,28.03,84.1,2022-03-21,B2B_direct,pendente,cartão_crédito
ORD000141,C0073,PR003,6,28.32,169.93,15/03/2022,ecommerce,concluído,cartão_débito
ORD000142,C0024,PR002,4,25.4,101.59,16/03/2022,ecommerce,concluído,boleto
ORD000143,C0274,PR001,6,32.57,195.43,2022-03-10,marketplace,pendente,boleto
ORD000144,C0476,PR001,2,33.23,66.46,2022-03-06,ecommerce,cancelado,cartão_crédito
ORD000145,C0346,PR003,1,27.74,27.74,2022-03-10,marketplace,devolvido,cartão_débito
ORD000146,C0289,PR003,2,28.32,56.64,25/03/2022,pdv_parceiro,concluído,cartão_crédito
ORD000147,C0292,PR001,1,31.58,31.58,2022-03-13,marketplace,concluído,cartão_débito
ORD000148,C0471,PR001,3,31.58,94.75,07/03/2022,ecommerce,concluído,pix
ORD000149,C0836,PR001,3,31.25,93.76,2022-03-05,marketplace,pendente,cartão_débito
ORD000150,C0388,PR002,3,24.4,73.21,2022-03-07,marketplace,concluído,pix
ORD000151,C0272,PR002,6,25.4,152.39,08/03/2022,ecommerce,concluído,cartão_crédito
ORD000152,C0397,PR003,6,29.77,178.6,19/03/2022,B2B_direct,cancelado,cartão_crédito
ORD000152,C0397,PR003,6,29.77,178.6,19/03/2022,B2B_direct,cancelado,cartão_crédito
ORD000153,C0189,PR002,6,24.15,144.92,2022-03-09,ecommerce,concluído,pix
ORD000154,C0672,PR002,2,25.9,51.79,19/03/2022,ecommerce,concluído,pix
ORD000155,C0716,PR003,6,28.61,171.67,2022-03-28,B2B_direct,concluído,cartão_crédito
ORD000156,C0337,PR003,6,27.45,164.73,2022-03-20,B2B_direct,cancelado,boleto
ORD000157,C0099,PR002,1,25.65,25.65,2022-03-15,B2B_direct,devolvido,cartão_crédito
ORD000158,C0358,PR002,3,25.4,76.19,2022-03-16,marketplace,concluído,pix
ORD000159,C0081,PR001,6,32.9,197.4,2022-03-25,pdv_parceiro,devolvido,pix
ORD000160,C0287,PR003,6,28.9,173.4,2022-03-28,B2B_direct,pendente,cartão_crédito
ORD000161,C0022,PR003,5,30.06,150.28,2022-03-10,marketplace,cancelado,cartão_crédito
ORD000162,C0382,PR003,4,27.74,110.98,12/03/2022,ecommerce,pendente,pix
ORD000163,C0352,PR003,5,29.19,145.94,2022-03-25,ecommerce,devolvido,cartão_crédito
ORD000164,C0482,PR002,5,23.65,118.27,2022-03-06,ecommerce,concluído,pix
ORD000165,C0432,PR003,4,28.32,113.29,14/03/2022,ecommerce,devolvido,boleto
ORD000166,C0774,PR002,2,23.65,47.31,09/03/2022,ecommerce,pendente,cartão_crédito
ORD000167,C0767,PR001,6,31.91,191.48,2022-03-23,ecommerce,devolvido,cartão_crédito
ORD000168,C0505,PR003,6,30.34,182.07,2022-03-13,ecommerce,concluído,cartão_débito
ORD000169,C0193,PR001,2,34.55,69.09,2022-03-11,ecommerce,devolvido,cartão_crédito
ORD000170,C0218,PR001,3,32.24,96.73,2022-03-21,marketplace,concluído,cartão_crédito
ORD000171,C0098,PR002,5,26.14,130.72,2022-03-06,B2B_direct,concluído,pix
ORD000171,C0098,PR002,5,26.14,130.72,2022-03-06,B2B_direct,concluído,pix
ORD000172,C0567,PR001,6,32.24,193.45,2022-03-17,marketplace,concluído,boleto
ORD000173,C0772,PR002,6,26.14,156.87,2022-03-25,B2B_direct,concluído,cartão_débito
ORD000174,C0336,PR002,3,23.9,71.71,2022-03-07,ecommerce,concluído,cartão_crédito
ORD000175,C0680,PR003,6,28.32,169.93,18/03/2022,B2B_direct,devolvido,cartão_débito
ORD000176,C0721,PR002,4,25.15,100.6,02/03/2022,B2B_direct,devolvido,cartão_débito
ORD000177,C0314,PR001,1,32.9,32.9,18/03/2022,B2B_direct,pendente,pix
ORD000178,C0249,PR003,1,28.32,28.32,2022-03-14,B2B_direct,cancelado,cartão_crédito
ORD000179,C0603,PR001,1,34.55,34.55,2022-03-18,marketplace,devolvido,cartão_crédito
ORD000180,C0549,PR001,2,32.9,65.8,05/03/2022,pdv_parceiro,concluído,boleto
ORD000181,C0516,PR001,1,33.56,33.56,02/03/2022,ecommerce,concluído,boleto
ORD000182,C0124,PR003,3,30.06,90.17,2022-03-26,marketplace,concluído,cartão_débito
ORD000183,C0395,PR001,5,33.56,167.79,2022-03-06,ecommerce,devolvido,pix
ORD000184,C0182,PR002,6,23.9,143.42,2022-03-04,ecommerce,concluído,pix
ORD000185,C0802,PR003,5,28.61,143.05,23/03/2022,ecommerce,concluído,cartão_débito
ORD000186,C0083,PR003,1,28.03,28.03,2022-03-24,pdv_parceiro,devolvido,cartão_crédito
ORD000187,C0417,PR002,1,25.9,25.9,25/03/2022,ecommerce,devolvido,boleto
ORD000188,C0092,PR001,4,32.24,128.97,2022-03-14,pdv_parceiro,cancelado,cartão_crédito
ORD000189,C0209,PR001,4,34.22,136.86,2022-03-26,ecommerce,cancelado,boleto
ORD000190,C0461,PR003,5,30.06,150.28,2022-03-15,ecommerce,concluído,cartão_crédito
ORD000191,C0005,PR002,2,24.15,48.31,2022-03-05,ecommerce,concluído,boleto
ORD000192,C0522,PR001,4,34.55,138.18,2022-03-06,ecommerce,concluído,boleto
ORD000193,C0168,PR003,4,28.03,112.13,2022-03-12,B2B_direct,concluído,cartão_crédito
ORD000194,C0826,PR002,4,26.14,104.58,02/03/2022,ecommerce,pendente,boleto
ORD000195,C0071,PR001,2,33.89,67.77,2022-03-27,ecommerce,concluído,pix
ORD000196,C0534,PR002,1,23.9,23.9,2022-03-08,B2B_direct,concluído,cartão_crédito
ORD000197,C0539,PR002,3,25.65,76.94,2022-03-13,marketplace,concluído,cartão_débito
ORD000198,C0332,PR001,3,34.22,102.65,2022-03-21,B2B_direct,pendente,cartão_débito
ORD000199,C0656,PR001,4,33.56,134.23,28/03/2022,B2B_direct,concluído,cartão_débito
ORD000200,C0088,PR002,3,25.65,76.94,2022-03-25,B2B_direct,concluído,pix
ORD000201,C0808,PR001,2,33.56,67.12,2022-03-05,marketplace,concluído,pix
ORD000202,C0253,PR001,1,34.22,34.22,04/03/2022,marketplace,concluído,pix
ORD000203,C0228,PR001,6,31.58,189.5,2022-03-13,marketplace,concluído,cartão_crédito
ORD000204,C0053,PR002,6,24.4,146.41,06/03/2022,marketplace,concluído,cartão_débito
ORD000204,C0053,PR002,6,24.4,146.41,06/03/2022,marketplace,concluído,cartão_débito
ORD000205,C0634,PR002,1,24.15,24.15,2022-04-17,marketplace,concluído,pix
ORD000206,C0275,PR001,2,31.91,63.83,10/04/2022,B2B_direct,pendente,pix
ORD000207,C0570,PR001,3,32.57,97.71,22/04/2022,marketplace,pendente,boleto
ORD000208,C0773,PR001,3,31.58,94.75,2022-04-18,marketplace,pendente,boleto
ORD000209,C0101,PR002,4,25.9,103.58,2022-04-28,marketplace,pendente,pix
ORD000210,C0045,PR003,3,27.74,83.23,2022-04-10,pdv_parceiro,concluído,boleto
ORD000211,C0158,PR003,5,29.19,145.94,2022-04-22,B2B_direct,concluído,cartão_débito
ORD000212,C0381,PR003,4,28.32,113.29,2022-04-03,pdv_parceiro,devolvido,pix
ORD000213,C0459,PR002,4,23.9,95.62,2022-04-21,B2B_direct,pendente,boleto
ORD000214,C0611,PR002,3,23.9,71.71,2022-04-20,ecommerce,concluído,cartão_débito
ORD000215,C0664,PR002,2,23.9,47.81,2022-04-09,marketplace,concluído,pix
ORD000216,C0273,PR001,3,33.89,101.66,2022-04-01,B2B_direct,concluído,cartão_crédito
ORD000217,C0604,PR003,5,30.34,151.72,2022-04-20,ecommerce,cancelado,cartão_débito
ORD000218,C0224,PR001,5,33.56,167.79,19/04/2022,ecommerce,concluído,cartão_crédito
ORD000219,C0113,PR001,5,32.24,161.21,2022-04-18,ecommerce,concluído,pix
ORD000220,C0358,PR002,1,25.9,25.9,24/04/2022,B2B_direct,concluído,pix
ORD000221,C0090,PR003,1,30.06,30.06,2022-04-16,marketplace,cancelado,cartão_crédito
ORD000222,C0363,PR002,2,24.9,49.8,04/04/2022,pdv_parceiro,concluído,pix
ORD000223,C0642,PR002,2,24.4,48.8,09/04/2022,ecommerce,concluído,boleto
ORD000224,C0382,PR001,3,33.89,101.66,2022-04-20,marketplace,pendente,cartão_crédito
ORD000225,C0049,PR001,4,34.22,136.86,2022-04-16,B2B_direct,cancelado,boleto
ORD000226,C0288,PR002,2,26.14,52.29,2022-04-03,marketplace,concluído,pix
ORD000227,C0201,PR002,5,24.4,122.01,21/04/2022,ecommerce,cancelado,pix
ORD000228,C0779,PR001,5,33.89,169.44,2022-04-04,ecommerce,cancelado,cartão_débito
ORD000229,C0548,PR001,5,33.23,166.14,2022-04-18,ecommerce,concluído,cartão_débito
ORD000230,C0368,PR002,6,24.4,146.41,2022-04-07,B2B_direct,concluído,pix
ORD000231,C0247,PR001,6,31.58,189.5,10/04/2022,ecommerce,devolvido,pix
ORD000232,C0382,PR003,1,29.48,29.48,2022-04-21,marketplace,devolvido,cartão_débito
ORD000233,C0336,PR003,3,27.74,83.23,2022-04-18,marketplace,pendente,pix
ORD000234,C0563,PR001,5,32.9,164.5,06/04/2022,ecommerce,concluído,pix
ORD000235,C0521,PR001,4,33.23,132.92,2022-04-21,ecommerce,cancelado,cartão_crédito
ORD000236,C0366,PR002,1,24.4,24.4,20/04/2022,pdv_parceiro,pendente,cartão_crédito
ORD000237,C0690,PR001,1,33.23,33.23,2022-04-07,ecommerce,concluído,cartão_débito
ORD000238,C0030,PR002,5,24.15,120.76,2022-04-19,marketplace,pendente,cartão_crédito
ORD000239,C0476,PR003,6,29.77,178.6,2022-04-08,marketplace,concluído,pix
ORD000240,C0785,PR003,5,29.19,145.94,2022-04-24,ecommerce,concluído,cartão_débito
ORD000241,C0590,PR001,2,32.9,65.8,2022-04-22,ecommerce,concluído,cartão_débito
ORD000242,C0390,PR003,3,27.74,83.23,2022-04-04,marketplace,cancelado,cartão_crédito
ORD000243,C0536,PR001,4,32.57,130.28,2022-04-02,ecommerce,concluído,boleto
ORD000244,C0798,PR001,5,34.22,171.08,2022-04-22,ecommerce,concluído,boleto
ORD000245,C0243,PR002,1,25.9,25.9,2022-04-18,ecommerce,concluído,pix
ORD000246,C0766,PR003,5,28.61,143.05,23/04/2022,marketplace,concluído,cartão_crédito
ORD000247,C0655,PR001,5,32.9,164.5,2022-04-04,B2B_direct,pendente,pix
ORD000248,C0839,PR002,1,25.9,25.9,2022-04-24,marketplace,concluído,boleto
ORD000249,C0194,PR002,6,24.65,147.91,2022-04-23,ecommerce,concluído,pix
ORD000250,C0729,PR003,6,28.32,169.93,2022-04-27,pdv_parceiro,devolvido,cartão_crédito
ORD000251,C0406,PR003,6,30.06,180.34,2022-04-27,marketplace,concluído,boleto
ORD000252,C0818,PR001,2,31.25,62.51,2022-04-17,pdv_parceiro,concluído,cartão_crédito
ORD000253,C0279,PR001,2,33.89,67.77,28/04/2022,ecommerce,concluído,pix
ORD000254,C0116,PR002,4,25.15,100.6,2022-04-08,ecommerce,concluído,pix
ORD000255,C0621,PR002,1,25.65,25.65,2022-04-10,pdv_parceiro,concluído,cartão_crédito
ORD000256,C0281,PR001,2,32.24,64.48,2022-04-11,marketplace,pendente,pix
ORD000257,C0117,PR002,6,23.65,141.93,2022-04-16,ecommerce,concluído,cartão_crédito
ORD000258,C0811,PR001,5,33.56,167.79,2022-04-04,pdv_parceiro,concluído,pix
ORD000259,C0613,PR001,5,33.23,166.14,16/04/2022,ecommerce,concluído,pix
ORD000260,C0534,PR002,4,24.9,99.6,2022-04-22,B2B_direct,concluído,boleto
ORD000261,C0293,PR002,6,24.65,147.91,2022-04-13,marketplace,concluído,cartão_crédito
ORD000262,C0290,PR003,2,29.19,58.38,2022-04-13,ecommerce,pendente,cartão_crédito
ORD000263,C0347,PR003,2,28.61,57.22,22/04/2022,ecommerce,concluído,cartão_débito
ORD000264,C0240,PR002,5,24.4,122.01,2022-04-12,ecommerce,concluído,cartão_crédito
ORD000265,C0837,PR002,4,25.15,100.6,24/04/2022,marketplace,cancelado,cartão_crédito
ORD000266,C0738,PR002,2,25.4,50.8,12/04/2022,ecommerce,cancelado,pix
ORD000267,C0741,PR001,5,31.91,159.56,25/04/2022,B2B_direct,concluído,cartão_crédito
ORD000268,C0622,PR003,4,28.61,114.44,2022-04-06,B2B_direct,pendente,boleto
ORD000269,C0382,PR002,6,24.4,146.41,10/04/2022,B2B_direct,cancelado,cartão_crédito
ORD000270,C0574,PR002,3,25.4,76.19,04/04/2022,marketplace,pendente,pix
ORD000271,C0420,PR003,6,28.32,169.93,2022-04-19,pdv_parceiro,concluído,cartão_crédito
ORD000272,C0741,PR002,3,25.9,77.69,22/04/2022,ecommerce,concluído,cartão_crédito
ORD000273,C0276,PR003,6,29.77,178.6,18/04/2022,B2B_direct,pendente,cartão_débito
ORD000274,C0694,PR003,4,28.32,113.29,2022-04-01,pdv_parceiro,concluído,pix
ORD000275,C0800,PR002,3,25.65,76.94,2022-04-28,ecommerce,devolvido,pix
ORD000276,C0681,PR002,4,24.4,97.61,2022-04-09,ecommerce,concluído,boleto
ORD000277,C0023,PR001,2,31.25,62.51,2022-04-02,ecommerce,concluído,cartão_crédito
ORD000278,C0783,PR002,3,24.65,73.95,28/04/2022,B2B_direct,devolvido,pix
ORD000279,C0821,PR002,6,25.65,153.88,2022-04-24,ecommerce,pendente,cartão_débito
ORD000280,C0756,PR003,2,29.19,58.38,2022-04-21,ecommerce,cancelado,pix
ORD000281,C0224,PR002,4,24.15,96.61,2022-04-28,marketplace,concluído,cartão_crédito
ORD000282,C0139,PR002,4,24.15,96.61,2022-04-14,B2B_direct,concluído,cartão_crédito
ORD000283,C0012,PR001,6,33.89,203.32,2022-04-01,ecommerce,concluído,boleto
ORD000284,C0132,PR002,2,25.9,51.79,24/04/2022,ecommerce,concluído,boleto
ORD000285,C0251,PR002,6,25.15,150.89,2022-04-04,ecommerce,pendente,pix
ORD000286,C0464,PR003,5,29.77,148.84,2022-04-07,ecommerce,devolvido,cartão_crédito
ORD000287,C0553,PR003,5,29.77,148.84,20/04/2022,marketplace,concluído,pix
ORD000288,C0810,PR002,5,25.65,128.23,2022-04-15,marketplace,devolvido,pix
ORD000289,C0019,PR002,5,23.65,118.27,2022-04-09,marketplace,concluído,pix
ORD000290,C0419,PR002,5,24.9,124.5,2022-04-02,ecommerce,devolvido,pix
